year,month,day,freq
2019,9,1,321
2019,8,10,393
2020,1,2,7
2020,9,4,33
2020,9,5,19
2020,9,13,7
2020,11,4,61
2020,10,4,5
2020,8,31,46
2020,11,7,6
2020,10,27,15
2020,9,12,15
2020,8,30,3
2020,11,9,38
2020,11,5,11
2020,10,23,13
2020,9,6,6
2020,11,8,21
2020,11,14,1
2020,10,18,6
2020,11,13,2
2020,11,15,2
2020,11,30,2
2020,10,31,14
